time,motion,distance,co2,label,timestamp
11:33:38,0,-1.0,671,0,1495121618.0
11:33:39,0,-1.0,671,0,1495121619.0
11:33:40,0,-1.0,671,0,1495121620.0
11:33:41,0,-1.0,671,0,1495121621.0
11:33:42,0,-1.0,671,0,1495121622.0
11:33:43,0,-1.0,671,0,1495121623.0
11:33:44,0,-1.0,671,0,1495121624.0
11:33:45,0,-1.0,671,0,1495121625.0
11:33:46,0,-1.0,671,0,1495121626.0
11:33:47,0,-1.0,671,0,1495121627.0
11:33:48,0,-1.0,670,0,1495121628.0
11:33:49,0,-1.0,670,0,1495121629.0
11:33:50,0,-1.0,670,0,1495121630.0
11:33:51,0,-1.0,670,0,1495121631.0
11:33:52,0,-1.0,670,0,1495121632.0
11:33:53,0,-1.0,670,0,1495121633.0
11:33:54,0,-1.0,670,0,1495121634.0
11:33:55,0,-1.0,670,0,1495121635.0
11:33:56,0,-1.0,670,0,1495121636.0
11:33:57,0,-1.0,670,0,1495121637.0
11:33:58,0,-1.0,670,0,1495121638.0
11:33:59,0,-1.0,670,0,1495121639.0
11:34:00,0,-1.0,669,0,1495121640.0
11:34:01,0,-1.0,669,0,1495121641.0
11:34:02,0,-1.0,669,0,1495121642.0
11:34:03,0,-1.0,668,0,1495121643.0
11:34:04,0,-1.0,668,0,1495121644.0
11:34:05,0,-1.0,668,0,1495121645.0
11:34:06,0,-1.0,668,0,1495121646.0
11:34:07,0,-1.0,667,0,1495121647.0
11:34:08,0,-1.0,667,0,1495121648.0
11:34:09,0,-1.0,667,0,1495121649.0
11:34:10,0,-1.0,667,0,1495121650.0
11:34:11,0,-1.0,667,0,1495121651.0
11:34:12,0,-1.0,667,0,1495121652.0
11:34:13,0,-1.0,667,0,1495121653.0
11:34:14,0,-1.0,667,0,1495121654.0
11:34:15,0,-1.0,667,0,1495121655.0
11:34:16,0,-1.0,667,0,1495121656.0
11:34:17,0,-1.0,667,0,1495121657.0
11:34:18,0,-1.0,666,0,1495121658.0
11:34:19,0,-1.0,666,0,1495121659.0
11:34:20,0,-1.0,666,0,1495121660.0
11:34:21,0,-1.0,666,0,1495121661.0
11:34:22,0,-1.0,666,0,1495121662.0
11:34:23,0,-1.0,666,0,1495121663.0
11:34:24,0,-1.0,666,0,1495121664.0
11:34:25,0,-1.0,666,0,1495121665.0
11:34:26,0,-1.0,665,0,1495121666.0
11:34:27,0,-1.0,665,0,1495121667.0
11:34:28,0,-1.0,665,0,1495121668.0
11:34:29,0,-1.0,665,0,1495121669.0
11:34:30,0,-1.0,665,0,1495121670.0
11:34:31,0,-1.0,665,0,1495121671.0
11:34:32,0,-1.0,665,0,1495121672.0
11:34:33,0,-1.0,665,0,1495121673.0
11:34:34,0,-1.0,665,0,1495121674.0
11:34:35,0,-1.0,665,0,1495121675.0
11:34:36,0,-1.0,665,0,1495121676.0
11:34:37,0,-1.0,664,0,1495121677.0
11:34:38,0,-1.0,664,0,1495121678.0
